ACCEX,ACCEY,ACCEZ,GRAVX,GRAVY,GRAVZ,LACCX,LACCY,LACCZ,GYROX,GYROY,GYROZ,LIGHT,MAFIX,MAFIY,MAFIZ,ORIEZ,ORIEX,ORIEY,PROX,SOUND,LOCAT,LOCAL,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (Â°),Satellites in range,Time since start in ms ,date
-0.311,6.615,7.195,0.52481,4.85537,8.50414,-0.64419,0.00717,-0.51976,0.00639,-0.0794,0.07021,50,18.126,16.566,-18.12,325.687,-42.568,2.475,0.39,-0.564,12.935187,77.55367,,2923.11361,,74.0129,,0 / 18,5,2018-08-03 11:47:56:523
-0.129,6.469,7.361,0.52481,4.85537,8.50414,-0.64419,0.00717,-0.51976,-0.01918,0.00839,0.02371,55,18.174,16.938,-18.462,325.527,-42.583,2.252,0.39,27.6688,12.935187,77.55367,,2923.11361,,74.0129,,0 / 18,505,2018-08-03 11:47:57:023
4.827,-0.694,12.314,0.52481,4.85537,8.50414,-0.64419,0.00717,-0.51976,-3.43245,-0.74274,-0.31455,58,18.162,17.112,-18.606,339.24,-49.463,18.535,0.39,30.6403,12.935187,77.55367,,2923.11361,,74.0129,,0 / 18,1005,2018-08-03 11:47:57:523
-1.062,1.781,7.53,0.52481,4.85537,8.50414,-0.64419,0.00717,-0.51976,-5.33706,-3.11524,-1.13922,53,18.216,19.068,-18.234,326.507,-13.181,8.028,0.39,32.0943,12.935187,77.55367,,2923.11361,,74.0129,,0 / 18,1506,2018-08-03 11:47:58:024
3.942,4.969,6.604,4.57953,7.89558,3.58582,-0.38853,-3.06358,3.85318,-1.12843,-0.19305,1.18439,57,17.64,23.91,-15.114,289,-59.273,-52.391,0.39,36.8106,12.935187,77.55367,,2923.11361,,74.0129,,0 / 18,2006,2018-08-03 11:47:58:524
0.073,5.102,6.391,-0.4761,9.26465,3.17963,-1.9369,-3.07465,2.87637,1.57021,0.49347,-2.39022,54,17.226,25.086,-14.976,308.397,-62.147,-25.268,0.39,34.2001,12.935187,77.55367,,2923.11361,,74.0129,,0 / 18,2505,2018-08-03 11:47:59:023
0.048,6.197,7.746,0.60432,9.17705,3.40395,-0.52808,-2.94951,4.25604,0.27884,-0.06835,0.26805,55,17.13,22.218,-17.448,319.338,-68.238,-6.75,0.39,38.9962,12.935187,77.55367,,2923.11361,,74.0129,,0 / 18,3006,2018-08-03 11:47:59:524
-0.032,7.125,6.848,1.04394,9.23014,3.14407,-1.08127,-2.09188,3.66703,0.34852,0.02678,0.00413,61,16.248,19.278,-18.624,312.024,-69.307,-17.98,0.39,28.6461,12.927211,77.683136,,2879.822903,,2812.9033,,0 / 18,3506,2018-08-03 11:48:00:024
-0.851,5.172,14.315,0.45486,7.17178,6.67301,-1.54102,-2.60718,0.64987,0.57581,-0.33347,0.1227,55,17.166,18.198,-18.582,317.533,-58.156,-11.66,0.39,30.9044,12.927211,77.683136,,2879.822903,,2812.9033,,0 / 18,4005,2018-08-03 11:48:00:523
-1.363,6.025,8.021,-0.01406,7.35936,6.48152,-0.78003,-1.56126,1.39427,-0.10338,0.04503,0.42686,51,18.372,18.696,-17.928,325.264,-46.653,-0.251,0.39,39.2468,12.927211,77.683136,,2879.822903,,2812.9033,,0 / 18,4505,2018-08-03 11:48:01:023
0.427,6.226,7.571,1.20014,7.24685,6.49718,-0.66034,-1.09536,1.17651,0.14575,-0.01958,-0.01052,53,19.134,19.56,-17.484,316.915,-47.644,-10.466,0.39,38.7284,12.927211,77.683136,,2879.822903,,2812.9033,,0 / 18,5005,2018-08-03 11:48:01:523
0.668,6.327,7.533,1.15346,7.05105,6.71734,-0.62478,-0.65987,0.12611,0.004,0.18798,-0.00799,55,19.014,18.93,-17.586,317.366,-45.973,-9.743,0.39,35.8391,12.927211,77.683136,,2879.822903,,2812.9033,,0 / 18,5505,2018-08-03 11:48:02:023
